,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
0,bitcoin,1,BTC,Bitcoin,19518112.0000000000000000,21000000.0000000000000000,591718599432.4068556570649248,3412050852.3690469965588565,30316.3850802991014529,1.2785787233782886,29913.5328604513549947,https://blockchain.info/
1,ethereum,2,ETH,Ethereum,120263584.3761507700000000,,201370667088.2167966081491718,2346788562.7240141403720948,1674.4109876052406215,2.6741935291360859,1642.2391480689515346,https://etherscan.io/
2,tether,3,USDT,Tether,83814882993.8953100000000000,,83820505640.5241431901925053,7221697780.7016025825381474,1.0000670841075951,-0.1167390407632176,1.0008399092857704,https://www.omniexplorer.info/asset/31
3,binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,36491175424.5888127975252328,125453127.3176284411749062,218.7705292327413286,1.9921775288013681,215.7771537902677448,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
4,usd-coin,5,USDC,USDC,25387810694.2467160000000000,,25365100187.9859325694443259,543133554.7329208174858834,0.9991054562941920,-0.1446747792704540,1.0005400248208495,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
5,xrp,6,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,23785711333.4418822530817120,249889578.3259196152897102,0.5238678603177333,0.3395701503533773,0.5199258317976833,https://xrpcharts.ripple.com/#/graph/
6,solana,7,SOL,Solana,416474574.7504438000000000,,12408933329.3281777755800132,243351872.5992477303326539,29.7951761803556645,1.5033919052765294,28.9667872002672774,https://explorer.solana.com/
7,cardano,8,ADA,Cardano,35218589486.0460000000000000,45000000000.0000000000000000,9402378881.6588429740673212,51954728.6884468915288176,0.2669720456971785,2.5191911375740124,0.2602840818751130,https://cardanoexplorer.com/
8,dogecoin,9,DOGE,Dogecoin,141474386383.7052300000000000,,8776111804.8853141915971560,70138135.7642170434950502,0.0620332204946473,0.8838580936263305,0.0610839694586836,http://dogechain.info/chain/Dogecoin
9,tron,10,TRX,TRON,88905070570.6971600000000000,,8075805985.5160974929330832,64569142.8934926887494506,0.0908362811443272,-1.0152790119599924,0.0907923073057878,https://tronscan.org/#/
10,chainlink,11,LINK,Chainlink,556849970.4527867000000000,1000000000.0000000000000000,5939074665.8153195369034845,688511483.1796734288175561,10.6654843870892730,18.6700874982451013,9.5533037135362119,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
11,polygon,12,MATIC,Polygon,9299803030.7193800000000000,10000000000.0000000000000000,5749694580.6304781215462043,155181554.9964985518462880,0.6182598235293715,8.0200757556056030,0.5852520598251028,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
12,multi-collateral-dai,13,DAI,Multi Collateral DAI,5347888595.7464075000000000,,5341828001.6273054038738361,32432337.4699448356253729,0.9988667314192142,-0.1386766152010826,1.0024747748980529,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
13,polkadot,14,DOT,Polkadot,1288556889.0762200000000000,,5145678497.3849249703373328,58755348.7261060923875724,3.9933654004782948,1.9285399433204056,3.8879394550995058,https://polkascan.io/polkadot
